ts,accGx,accGy,accGz
1698675191158.0,-1127,202,116
1698675191237.0,-1143,41,83
1698675191335.0,-1180,80,45
1698675191397.0,-1241,205,-59
1698675191477.0,-1033,344,-154
1698675191557.0,-947,546,-154
1698675191638.0,-1131,728,-165
1698675191717.0,-1175,799,-188
1698675191797.0,-1197,771,-174
1698675191877.0,-1329,655,-130
1698675191957.0,-1143,449,-81
1698675192038.0,-943,303,-27
1698675192117.0,-1143,162,18
1698675192200.0,-1310,9,36
1698675192277.0,-1333,24,12
1698675192357.0,-1379,141,-44
1698675192439.0,-1147,259,-103
1698675192600.0,-1107,739,-230
1698675192677.0,-1096,712,-196
1698675192757.0,-1205,622,-93
1698675192837.0,-1270,449,-24
1698675192917.0,-1011,324,1
1698675192997.0,-926,266,8
1698675193077.0,-1038,144,19
1698675193157.0,-1071,14,20
1698675193237.0,-1143,56,-58
1698675193318.0,-1237,207,-133
1698675193397.0,-1087,342,-159
1698675193523.0,-928,425,-159
1698675193557.0,-922,471,-161
1698675193637.0,-1078,522,-168
1698675193717.0,-1115,534,-210
1698675193797.0,-1111,451,-200
1698675193877.0,-1197,357,-101
1698675193957.0,-1182,306,28
1698675194037.0,-1142,362,97
1698675194117.0,-1109,475,119
1698675194197.0,-1021,544,149
1698675194277.0,-580,834,236
1698675194357.0,-355,883,277
1698675194437.0,-180,918,311
1698675194517.0,-101,916,294
1698675194597.0,-78,880,308
1698675194677.0,-1,874,424
1698675194757.0,78,873,465
1698675194837.0,128,868,430
1698675194917.0,168,870,431
1698675195086.0,221,859,488
1698675195157.0,236,870,493
1698675195386.0,245,875,498
1698675197277.0,281,877,474
1698675197316.0,281,878,472
1698675198056.0,288,899,448
1698675198804.0,302,900,452
1698675198836.0,303,906,449
1698675198918.0,297,899,432
1698675198996.0,297,901,427
1698675199376.0,352,894,381
1698675199396.0,371,897,355
1698675199799.0,316,946,422
1698675200244.0,313,892,425
1698675200276.0,310,900,415
1698675200394.0,308,893,407
1698675200436.0,314,876,412
1698675200574.0,318,888,422
1698675200596.0,319,890,419
1698675200694.0,321,887,419
1698675200756.0,323,892,406
1698675200836.0,344,893,366
1698675200916.0,409,851,356
1698675200996.0,416,825,462
1698675201076.0,328,822,586
1698675201157.0,247,793,651
1698675201236.0,123,770,679
1698675201318.0,96,749,703
1698675201396.0,105,750,706
1698675201476.0,124,727,691
1698675201557.0,136,718,702
1698675201636.0,142,729,710
1698675201718.0,141,735,702
1698675201796.0,141,726,713
1698675201875.0,143,720,722
1698675201958.0,136,725,720
1698675202035.0,139,710,722
1698675202115.0,146,696,727
1698675202196.0,146,695,731
1698675202275.0,144,697,732
1698675202355.0,141,704,730
