ts,alpha,beta,gamma
1698675190120.0,393,147,570
1698675190200.0,380,214,580
1698675190280.0,362,235,584
1698675190363.0,371,215,597
1698675190441.0,378,178,584
1698675190520.0,380,118,591
1698675190600.0,355,74,594
1698675190680.0,324,18,605
1698675190763.0,316,-4,612
1698675190840.0,324,22,608
1698675190920.0,345,42,596
1698675191000.0,372,108,585
1698675191080.0,360,159,576
1698675191160.0,335,211,581
1698675191332.0,326,222,602
1698675191338.0,330,206,587
1698675191422.0,359,163,573
1698675191480.0,350,105,576
1698675191572.0,309,56,591
1698675191641.0,280,8,608
1698675191720.0,271,0,611
1698675191800.0,290,19,606
1698675191880.0,314,24,576
1698675191960.0,354,75,576
1698675192041.0,350,117,577
1698675192120.0,345,156,575
1698675192203.0,325,156,599
1698675192280.0,342,139,583
1698675192360.0,353,90,572
1698675192442.0,340,58,584
1698675192515.0,323,21,579
1698675192603.0,305,3,581
1698675192680.0,295,13,596
1698675192760.0,320,51,592
1698675192840.0,323,62,564
1698675192920.0,332,93,561
1698675193002.0,337,145,563
1698675193080.0,330,172,575
1698675193223.0,312,176,575
1698675193240.0,331,157,568
1698675193320.0,343,112,563
1698675193402.0,341,54,556
1698675193526.0,306,17,564
1698675193560.0,283,-8,571
1698675193640.0,264,-32,589
1698675193720.0,270,-17,574
1698675193803.0,298,4,567
1698675193880.0,292,31,570
1698675193960.0,325,88,568
1698675194040.0,320,174,554
1698675194120.0,304,275,549
1698675194200.0,255,339,536
1698675194280.0,214,385,492
1698675194359.0,198,403,472
1698675194439.0,183,401,442
1698675194520.0,179,406,450
1698675194599.0,150,411,435
1698675194680.0,142,419,434
1698675194760.0,142,404,417
1698675194839.0,117,410,429
1698675195083.0,120,401,409
1698675195088.0,122,404,423
1698675195383.0,123,407,416
1698675195388.0,111,398,410
1698675197279.0,111,410,420
1698675198053.0,109,404,423
1698675198059.0,107,411,427
1698675198807.0,106,404,416
1698675198863.0,111,420,426
1698675198921.0,100,423,436
1698675199373.0,103,417,429
1698675199381.0,92,423,434
1698675199796.0,90,426,442
1698675199802.0,98,429,436
1698675200249.0,101,423,433
1698675200279.0,98,428,444
1698675200397.0,93,423,431
1698675200438.0,99,426,438
1698675200577.0,87,422,437
1698675200598.0,97,422,433
1698675200697.0,98,417,430
1698675200759.0,83,437,428
1698675200838.0,79,424,435
1698675200918.0,91,420,416
1698675200999.0,114,407,404
1698675201078.0,119,411,412
1698675201160.0,130,395,394
1698675201239.0,132,394,401
1698675201321.0,133,390,396
1698675201398.0,141,388,399
1698675201478.0,132,374,408
1698675201560.0,144,378,399
1698675201638.0,130,388,384
1698675201721.0,146,397,397
1698675201798.0,140,383,395
1698675201878.0,153,385,395
1698675201961.0,148,389,386
1698675202038.0,151,394,383
1698675202121.0,150,385,401
1698675202198.0,140,392,400
1698675202278.0,141,377,399
1698675202358.0,150,392,397
