ms,x,y,z
1698920057882.0,15,814,473
1698920057959.0,11,802,467
1698920058039.0,22,798,469
1698920058119.0,17,792,476
1698920058199.0,23,801,472
1698920058279.0,21,797,461
1698920058359.0,27,806,475
1698920058439.0,17,805,485
1698920058521.0,13,802,464
1698920058599.0,13,801,477
1698920058679.0,13,807,463
1698920058759.0,20,810,470
1698920058839.0,12,813,472
1698920058919.0,16,798,480
1698920058999.0,18,813,477
1698920059079.0,23,804,480
1698920059159.0,14,801,465
1698920059239.0,8,808,471
1698920059319.0,17,794,479
1698920059400.0,5,803,465
1698920059479.0,17,803,468
1698920059561.0,13,812,464
1698920059639.0,16,795,483
1698920059719.0,16,799,471
1698920059799.0,22,798,473
1698920059879.0,22,806,474
1698920059959.0,20,807,466
1698920060040.0,2,807,467
1698920060119.0,18,799,474
1698920060198.0,14,800,461
1698920060279.0,7,801,466
1698920060359.0,12,813,458
1698920060441.0,11,816,467
1698920060519.0,15,802,476
1698920060601.0,11,795,470
1698920060678.0,20,804,467
1698920060759.0,15,796,471
1698920060838.0,18,814,463
1698920060918.0,2,800,474
1698920060999.0,12,790,466
1698920061079.0,13,805,470
1698920061158.0,18,804,473
1698920061241.0,21,802,470
1698920061318.0,8,802,470
1698920061398.0,3,815,460
1698920061479.0,10,797,471
1698920061558.0,15,804,467
1698920061638.0,14,802,476
1698920061719.0,22,809,476
1698920061798.0,17,807,481
1698920061878.0,8,809,463
1698920061959.0,22,805,462
1698920062038.0,25,800,472
1698920062120.0,20,804,466
1698920062198.0,20,797,475
1698920062281.0,9,807,464
1698920062358.0,15,797,461
1698920062438.0,9,805,471
1698920062518.0,10,802,474
1698920062598.0,14,805,472
1698920062679.0,12,810,471
1698920062758.0,15,807,468
1698920062838.0,3,807,474
1698920062918.0,20,809,470
1698920062998.0,13,816,478
1698920063079.0,22,810,474
1698920063158.0,19,797,466
1698920063238.0,19,798,479
1698920063321.0,11,811,474
1698920063398.0,8,803,468
1698920063478.0,25,804,480
1698920063558.0,11,805,465
1698920063638.0,14,803,469
1698920063718.0,21,808,471
1698920063799.0,10,803,473
1698920063878.0,12,804,463
1698920063961.0,4,801,476
1698920064038.0,12,802,472
1698920064118.0,3,792,466
1698920064198.0,16,804,466
1698920064278.0,16,798,469
1698920064358.0,12,798,470
1698920064438.0,15,805,476
