timestamp,accGGx,accGGy,accGGz
1698923902.835,0.05,0.818,0.612
1698923902.915,-0.018,0.831,0.656
1698923902.995,0.036,0.797,0.626
1698923903.075,0.134,0.753,0.544
1698923903.155,0.242,0.754,0.559
1698923903.235,0.278,0.87,0.718
1698923903.315,0.235,0.989,0.905
1698923903.395,0.223,0.932,1.035
1698923903.475,0.192,0.819,1.017
1698923903.555,0.123,0.761,0.857
1698923903.635,0.118,0.678,0.692
1698923903.715,0.181,0.626,0.575
1698923903.795,0.285,0.645,0.535
1698923903.875,0.338,0.721,0.555
1698923903.955,0.078,0.862,0.616
1698923904.037,0.025,0.854,0.627
1698923904.115,0.088,0.787,0.601
1698923904.195,0.165,0.728,0.58
1698923904.275,0.279,0.75,0.614
1698923904.355,0.344,0.85,0.746
1698923904.435,0.293,0.95,0.872
1698923904.515,0.214,0.955,0.875
1698923904.595,0.163,0.865,0.828
1698923904.675,0.14,0.732,0.728
1698923904.755,0.153,0.61,0.621
1698923904.835,0.206,0.484,0.566
1698923904.915,0.244,0.506,0.53
1698923904.995,0.221,0.675,0.533
1698923905.075,0.128,0.807,0.576
1698923905.155,0.045,0.886,0.651
1698923905.238,0.04,0.857,0.651
1698923905.315,0.083,0.782,0.584
1698923905.395,0.165,0.749,0.575
1698923905.477,0.255,0.813,0.665
1698923905.555,0.268,0.971,0.799
1698923905.635,0.199,1.065,0.823
1698923905.715,0.115,0.997,0.78
1698923905.795,0.07,0.878,0.749
1698923905.875,0.08,0.771,0.675
1698923905.955,0.14,0.693,0.559
1698923906.035,0.234,0.681,0.497
1698923906.258,0.012,0.806,0.534
1698923906.275,-0.053,0.902,0.639
1698923906.41,-0.022,0.902,0.643
1698923906.436,0.075,0.848,0.613
1698923906.62,0.366,0.919,0.709
1698923906.677,0.418,0.96,0.823
1698923906.754,0.25,0.963,0.837
1698923906.834,0.153,0.923,0.825
1698923906.917,0.131,0.827,0.76
1698923906.995,0.126,0.755,0.672
1698923907.074,0.174,0.721,0.605
1698923907.154,0.221,0.704,0.545
1698923907.234,0.212,0.705,0.52
1698923907.314,0.137,0.725,0.54
1698923907.394,0.0,0.723,0.559
1698923907.474,-0.083,0.781,0.582
1698923907.554,-0.027,0.832,0.601
1698923907.634,0.074,0.78,0.581
1698923907.714,0.176,0.782,0.604
1698923907.794,0.234,0.889,0.692
1698923907.874,0.208,0.977,0.803
1698923907.956,0.125,0.957,0.842
1698923908.034,0.079,0.883,0.808
