timestamp,accGx,accGy,accGz
1698411999.007,-412,577,-665
1698411999.085,-415,569,-678
1698411999.165,-418,567,-687
1698411999.246,-414,570,-696
1698411999.325,-409,555,-704
1698411999.405,-418,570,-710
1698411999.485,-427,556,-733
1698411999.564,-410,442,-788
1698411999.645,-389,269,-892
1698411999.724,-388,168,-937
1698411999.804,-379,189,-905
1698411999.885,-364,217,-885
1698411999.964,-373,215,-850
1698412000.044,-397,209,-835
1698412000.125,-399,285,-824
1698412000.204,-342,376,-876
1698412000.284,-326,398,-901
1698412000.364,-376,408,-823
1698412000.444,-377,409,-813
1698412000.524,-368,427,-805
1698412000.604,-366,443,-805
1698412000.684,-372,453,-804
1698412000.764,-372,460,-788
1698412000.844,-347,472,-776
1698412000.924,-306,491,-776
1698412001.004,-281,522,-758
1698412001.084,-274,532,-751
1698412001.164,-280,514,-767
1698412001.244,-297,509,-772
1698412001.324,-300,508,-777
1698412001.406,-283,516,-777
1698412001.484,-271,542,-769
1698412001.564,-272,553,-758
1698412001.644,-280,546,-756
1698412001.724,-288,541,-759
1698412001.806,-282,549,-758
1698412001.884,-279,549,-762
1698412001.965,-286,570,-758
1698412002.044,-286,576,-748
1698412002.124,-284,574,-744
1698412002.204,-288,579,-746
1698412002.284,-284,590,-744
1698412002.364,-272,591,-741
1698412002.444,-258,594,-742
1698412002.524,-252,604,-740
1698412002.604,-246,609,-744
1698412002.684,-233,618,-748
1698412002.764,-222,621,-763
1698412002.844,-212,684,-774
1698412002.924,-198,840,-690
1698412003.004,-147,931,-543
