ts,abs,alpha,beta,gamma
1698411736855.0,False,358.8,13.600000000000001,9.9
1698411736872.0,False,359.20000000000005,13.9,9.700000000000001
1698411736889.0,False,359.70000000000005,14.5,9.3
1698411736906.0,False,0.1,14.8,9.1
1698411736922.0,False,0.7000000000000001,15.600000000000001,8.8
1698411736939.0,False,1.2000000000000002,16.2,8.8
1698411736956.0,False,1.5,16.5,9.0
1698411736973.0,False,2.0,17.1,9.3
1698411736990.0,False,2.6,17.5,9.8
1698411737006.0,False,2.9000000000000004,17.7,10.0
1698411737023.0,False,3.7,18.1,10.5
1698411737040.0,False,4.1000000000000005,18.400000000000002,10.600000000000001
1698411737056.0,False,5.1000000000000005,19.0,10.8
1698411737072.0,False,6.300000000000001,19.8,10.9
1698411737089.0,False,7.0,20.200000000000003,10.9
1698411737106.0,False,8.6,21.1,10.600000000000001
1698411737123.0,False,10.3,21.900000000000002,10.200000000000001
1698411737139.0,False,12.0,22.700000000000003,9.600000000000001
1698411737156.0,False,12.8,23.1,9.200000000000001
1698411737173.0,False,13.600000000000001,23.400000000000002,8.9
1698411737190.0,False,15.5,23.900000000000002,8.3
1698411737206.0,False,16.1,24.0,8.0
1698411737223.0,False,17.5,24.1,7.6000000000000005
1698411737239.0,False,18.900000000000002,24.200000000000003,7.2
1698411737258.0,False,19.6,24.3,7.0
1698411737273.0,False,21.0,24.6,6.7
1698411737290.0,False,22.200000000000003,24.900000000000002,6.4
1698411737306.0,False,22.700000000000003,24.900000000000002,6.300000000000001
1698411737324.0,False,23.5,24.8,6.0
1698411737340.0,False,24.0,24.5,5.7
1698411737356.0,False,24.1,24.3,5.7
1698411737373.0,False,24.1,23.700000000000003,6.1000000000000005
1698411737390.0,False,23.5,22.900000000000002,7.2
1698411737406.0,False,23.200000000000003,22.5,7.9
1698411737423.0,False,22.400000000000002,21.5,9.3
1698411737439.0,False,21.6,20.400000000000002,10.3
1698411737456.0,False,21.0,19.200000000000003,10.8
1698411737473.0,False,20.700000000000003,18.6,10.8
1698411737489.0,False,20.400000000000002,17.400000000000002,10.8
1698411737506.0,False,20.200000000000003,16.8,10.9
1698411737522.0,False,20.1,15.700000000000001,11.0
1698411737539.0,False,20.1,14.600000000000001,11.100000000000001
1698411737556.0,False,20.200000000000003,13.4,11.200000000000001
1698411737572.0,False,20.200000000000003,12.700000000000001,11.100000000000001
1698411737590.0,False,20.3,11.4,11.0
1698411737606.0,False,20.5,10.100000000000001,10.700000000000001
1698411737623.0,False,20.700000000000003,9.5,10.4
1698411737640.0,False,21.1,8.5,10.0
1698411737656.0,False,21.400000000000002,7.7,9.8
1698411737673.0,False,21.5,7.300000000000001,9.8
1698411737689.0,False,21.700000000000003,6.6000000000000005,9.700000000000001
1698411737707.0,False,21.8,6.0,9.600000000000001
1698411737723.0,False,21.8,5.800000000000001,9.4
1698411737741.0,False,22.0,5.4,8.9
1698411737756.0,False,22.200000000000003,5.1000000000000005,8.4
1698411737772.0,False,22.3,5.0,8.200000000000001
1698411737789.0,False,22.5,4.9,8.0
1698411737889.0,False,22.400000000000002,4.9,7.800000000000001
1698411737906.0,False,22.200000000000003,4.9,7.5
1698411737923.0,False,22.1,4.9,7.4
1698411737939.0,False,21.8,4.800000000000001,7.300000000000001
1698411737956.0,False,21.400000000000002,4.800000000000001,7.5
1698411737972.0,False,21.1,4.9,7.6000000000000005
1698411737990.0,False,20.700000000000003,5.0,7.7
1698411738006.0,False,20.400000000000002,5.300000000000001,7.800000000000001
1698411738022.0,False,20.3,5.6000000000000005,7.7
1698411738039.0,False,20.1,6.2,7.5
1698411738056.0,False,19.900000000000002,7.0,7.300000000000001
1698411738072.0,False,19.6,7.800000000000001,7.1000000000000005
1698411738089.0,False,19.5,8.3,7.1000000000000005
1698411738106.0,False,19.1,9.1,7.2
1698411738122.0,False,18.900000000000002,9.5,7.300000000000001
1698411738139.0,False,18.5,10.4,7.4
1698411738156.0,False,18.0,11.200000000000001,7.6000000000000005
1698411738172.0,False,17.8,11.700000000000001,7.800000000000001
1698411738189.0,False,17.2,12.600000000000001,8.1
1698411738206.0,False,16.7,13.600000000000001,8.4
1698411738222.0,False,16.3,14.600000000000001,8.6
1698411738239.0,False,16.2,15.100000000000001,8.700000000000001
1698411738256.0,False,15.8,15.9,8.700000000000001
1698411738273.0,False,15.4,16.6,8.6
1698411738289.0,False,15.200000000000001,16.900000000000002,8.5
1698411738306.0,False,14.600000000000001,17.2,8.200000000000001
1698411738322.0,False,13.8,17.1,7.800000000000001
1698411738339.0,False,13.4,16.900000000000002,7.7
1698411738356.0,False,12.3,16.400000000000002,7.5
1698411738372.0,False,11.100000000000001,15.600000000000001,7.6000000000000005
1698411738389.0,False,10.600000000000001,15.3,7.800000000000001
1698411738406.0,False,9.600000000000001,14.600000000000001,8.200000000000001
1698411738422.0,False,8.8,14.100000000000001,8.700000000000001
1698411738440.0,False,8.6,14.100000000000001,8.9
1698411738456.0,False,8.3,14.3,9.1
1698411738472.0,False,8.3,14.8,9.0
1698411738490.0,False,8.4,15.100000000000001,8.8
1698411738506.0,False,8.5,15.8,8.200000000000001
1698411738523.0,False,8.3,16.2,7.5
1698411738540.0,False,8.200000000000001,16.2,7.2
1698411738556.0,False,7.7,16.2,6.9
1698411738573.0,False,6.9,15.9,6.800000000000001
1698411738589.0,False,6.4,15.700000000000001,7.0
1698411738606.0,False,5.5,15.3,7.4
1698411738623.0,False,4.5,15.0,7.9
1698411738640.0,False,4.0,14.9,8.200000000000001
1698411738656.0,False,3.3000000000000003,14.600000000000001,8.5
1698411738673.0,False,2.7,14.4,8.5
1698411738690.0,False,2.5,14.3,8.5
1698411738706.0,False,2.1,14.100000000000001,8.4
1698411738722.0,False,1.6,13.9,8.3
1698411738740.0,False,1.4000000000000001,13.8,8.4
1698411738757.0,False,1.0,13.600000000000001,8.700000000000001
1698411738773.0,False,0.7000000000000001,13.600000000000001,8.9
1698411738806.0,False,0.7000000000000001,13.8,8.9
1698411738822.0,False,0.9,14.0,8.6
1698411738839.0,False,1.0,14.3,7.9
1698411738856.0,False,1.1,14.4,7.6000000000000005
1698411738872.0,False,1.1,14.8,6.9
1698411738889.0,False,1.1,15.0,6.7
1698411738906.0,False,0.9,15.200000000000001,6.300000000000001
1698411738923.0,False,0.4,15.200000000000001,6.300000000000001
1698411738939.0,False,359.8,15.0,6.6000000000000005
1698411738956.0,False,359.5,14.9,6.800000000000001
1698411738972.0,False,359.0,14.8,7.1000000000000005
1698411738989.0,False,358.70000000000005,14.9,7.300000000000001
1698411739006.0,False,358.6,15.0,7.300000000000001
1698411739022.0,False,358.5,15.200000000000001,7.6000000000000005
1698411739039.0,False,358.6,15.3,8.0
1698411739056.0,False,358.70000000000005,15.5,8.200000000000001
1698411739072.0,False,359.0,15.9,8.5
1698411739089.0,False,359.5,16.400000000000002,8.6
1698411739106.0,False,359.70000000000005,16.7,8.6
1698411739122.0,False,0.30000000000000004,17.0,8.6
1698411739139.0,False,0.9,17.2,8.6
1698411739156.0,False,1.3,17.2,8.5
1698411739172.0,False,2.0,17.0,8.3
1698411739189.0,False,2.6,16.6,8.1
1698411739205.0,False,2.9000000000000004,16.5,8.0
1698411739222.0,False,3.5,16.400000000000002,8.0
1698411739239.0,False,4.2,16.7,8.3
1698411739255.0,False,4.6000000000000005,16.900000000000002,8.5
1698411739272.0,False,5.5,17.400000000000002,9.0
1698411739291.0,False,6.6000000000000005,18.1,9.3
1698411739305.0,False,7.1000000000000005,18.5,9.200000000000001
1698411739322.0,False,8.4,19.3,8.9
1698411739339.0,False,9.600000000000001,19.900000000000002,8.4
1698411739355.0,False,10.200000000000001,20.200000000000003,8.1
1698411739372.0,False,11.100000000000001,20.400000000000002,7.6000000000000005
1698411739389.0,False,11.8,20.400000000000002,7.2
1698411739405.0,False,12.0,20.200000000000003,7.1000000000000005
1698411739422.0,False,12.3,20.0,7.1000000000000005
1698411739439.0,False,12.600000000000001,19.8,7.2
1698411739455.0,False,12.9,19.700000000000003,7.4
1698411739489.0,False,13.3,19.6,7.7
1698411739510.0,False,13.5,19.700000000000003,8.0
1698411739539.0,False,13.5,19.6,8.6
1698411739555.0,False,13.5,19.5,9.1
1698411739572.0,False,13.5,19.5,9.4
1698411739590.0,False,13.5,19.5,9.9
1698411739606.0,False,13.600000000000001,19.5,10.3
1698411739622.0,False,13.600000000000001,19.6,10.4
1698411739639.0,False,13.8,19.700000000000003,10.600000000000001
1698411739655.0,False,13.9,19.900000000000002,10.700000000000001
1698411739674.0,False,14.0,20.1,10.700000000000001
1698411739691.0,False,14.100000000000001,20.400000000000002,10.8
1698411739706.0,False,14.100000000000001,20.8,10.700000000000001
1698411739722.0,False,14.100000000000001,20.900000000000002,10.600000000000001
1698411739739.0,False,14.0,21.0,10.4
1698411739756.0,False,13.700000000000001,21.0,10.100000000000001
1698411739772.0,False,13.600000000000001,21.0,10.0
1698411739789.0,False,13.200000000000001,21.1,9.700000000000001
1698411739806.0,False,12.9,21.200000000000003,9.5
1698411739822.0,False,12.4,21.400000000000002,9.0
1698411739839.0,False,11.700000000000001,21.3,8.4
1698411739855.0,False,10.9,21.0,8.0
1698411739872.0,False,10.3,20.8,7.9
1698411739889.0,False,9.200000000000001,20.3,8.1
1698411739906.0,False,8.200000000000001,20.1,8.6
1698411739922.0,False,7.7,20.200000000000003,8.8
1698411739939.0,False,7.0,20.6,9.200000000000001
1698411739955.0,False,6.6000000000000005,21.3,9.3
1698411739972.0,False,6.5,21.6,9.3
1698411739989.0,False,6.2,22.3,9.0
1698411740006.0,False,5.9,22.8,8.6
1698411740022.0,False,5.6000000000000005,22.900000000000002,8.5
1698411740039.0,False,5.1000000000000005,22.700000000000003,8.4
1698411740056.0,False,4.4,22.200000000000003,8.5
1698411740072.0,False,4.1000000000000005,21.900000000000002,8.6
1698411740089.0,False,3.3000000000000003,21.3,9.0
1698411740106.0,False,2.5,20.900000000000002,9.5
1698411740123.0,False,2.0,20.8,10.0
1698411740139.0,False,1.8,20.8,10.3
1698411740156.0,False,1.5,20.8,10.600000000000001
1698411740172.0,False,1.3,20.700000000000003,10.700000000000001
1698411740189.0,False,1.2000000000000002,20.6,10.700000000000001
1698411740206.0,False,1.0,20.3,10.8
1698411740222.0,False,0.7000000000000001,19.8,11.100000000000001
1698411740239.0,False,0.6000000000000001,19.400000000000002,11.3
1698411740256.0,False,0.30000000000000004,18.6,11.700000000000001
1698411740272.0,False,0.2,18.3,11.9
1698411740289.0,False,0.1,17.7,12.3
1698411740306.0,False,0.30000000000000004,17.400000000000002,12.700000000000001
1698411740322.0,False,0.6000000000000001,17.400000000000002,12.9
1698411740339.0,False,0.8,17.6,13.0
1698411740356.0,False,1.3,18.2,13.100000000000001
1698411740372.0,False,1.8,19.0,13.0
1698411740391.0,False,2.0,19.3,12.9
1698411740406.0,False,2.3000000000000003,19.900000000000002,12.5
1698411740422.0,False,2.5,20.200000000000003,12.0
1698411740439.0,False,2.5,20.3,11.8
1698411740456.0,False,2.3000000000000003,20.3,11.5
1698411740473.0,False,1.8,20.200000000000003,11.8
1698411740490.0,False,1.6,20.1,12.100000000000001
1698411740506.0,False,1.0,19.8,12.9
1698411740527.0,False,0.7000000000000001,19.3,13.4
1698411740539.0,False,0.7000000000000001,19.1,13.600000000000001
1698411740556.0,False,0.7000000000000001,18.900000000000002,13.8
1698411740573.0,False,1.0,19.0,13.8
1698411740589.0,False,1.1,19.200000000000003,13.8
1698411740606.0,False,1.7000000000000002,19.8,13.700000000000001
1698411740622.0,False,2.4000000000000004,20.6,13.5
1698411740640.0,False,2.8000000000000003,21.0,13.4
1698411740656.0,False,3.6,21.900000000000002,13.0
1698411740673.0,False,4.3,22.5,12.600000000000001
1698411740690.0,False,4.7,22.8,12.3
1698411740706.0,False,5.4,23.200000000000003,11.600000000000001
1698411740722.0,False,6.0,23.400000000000002,10.8
1698411740739.0,False,6.300000000000001,23.400000000000002,10.4
1698411740756.0,False,6.9,23.400000000000002,9.700000000000001
1698411740772.0,False,7.2,23.400000000000002,9.3
1698411740789.0,False,7.300000000000001,23.400000000000002,9.3
1698411740806.0,False,7.5,23.5,9.3
1698411740822.0,False,7.7,23.8,9.3
1698411740843.0,False,8.0,24.3,9.4
1698411740856.0,False,8.1,24.5,9.3
1698411740872.0,False,8.4,24.900000000000002,9.200000000000001
1698411740889.0,False,8.5,25.1,9.1
1698411740905.0,False,8.6,25.3,8.9
1698411740939.0,False,8.4,25.200000000000003,8.9
1698411740955.0,False,8.200000000000001,25.1,9.0
1698411740972.0,False,7.800000000000001,24.8,9.1
1698411740989.0,False,7.4,24.400000000000002,9.200000000000001
1698411741006.0,False,7.1000000000000005,24.200000000000003,9.3
1698411741022.0,False,6.6000000000000005,23.8,9.3
1698411741039.0,False,6.0,23.400000000000002,9.4
1698411741056.0,False,5.7,23.200000000000003,9.4
1698411741073.0,False,5.1000000000000005,22.8,9.3
1698411741089.0,False,4.3,22.200000000000003,9.200000000000001
1698411741106.0,False,3.9000000000000004,21.8,9.1
1698411741122.0,False,2.9000000000000004,20.700000000000003,9.0
1698411741139.0,False,1.7000000000000002,19.5,9.1
1698411741156.0,False,1.1,18.8,9.3
1698411741173.0,False,360.0,17.8,9.9
1698411741189.0,False,359.1,17.3,10.3
1698411741206.0,False,358.8,17.3,10.4
1698411741223.0,False,358.20000000000005,17.5,10.0
1698411741239.0,False,357.6,17.6,9.1
1698411741256.0,False,357.3,17.5,8.700000000000001
1698411741273.0,False,356.5,17.3,8.1
1698411741289.0,False,355.3,17.0,8.4
1698411741306.0,False,354.6,16.900000000000002,8.8
