msFromStart,alpha,beta,gamma,heading,acc
1256,349.4274609071199,29.020770539749766,-19.9950560867957,139.9482879638672,34.33074188232422
1272,349.73779480832013,27.940384254440882,-20.877648750879693,139.9482879638672,34.33074188232422
1289,349.9746234511727,27.105793279094758,-21.46995600983259,139.9482879638672,34.33074188232422
1306,350.21741561132586,26.350574576620556,-22.06878131632303,138.77847290039062,34.12201690673828
1322,350.62149992860344,25.47865903180314,-22.904695756275057,138.77847290039062,34.12201690673828
1339,350.90862924285017,24.899735303565457,-23.573268270212886,138.77847290039062,34.12201690673828
1356,351.1230284967328,24.29377717023929,-24.2778253204454,137.75494384765625,34.05617141723633
1372,351.3161180783124,23.2657037594511,-25.158711546355395,137.75494384765625,34.05617141723633
1389,351.50551993389723,22.247078982422366,-25.61973650378473,137.75494384765625,34.05617141723633
1406,351.7622543897912,21.022341063417436,-25.88813531591926,137.75494384765625,34.05617141723633
1422,352.14636906090834,19.053801591796418,-26.32153457235947,136.45162963867188,34.01091384887695
1439,352.32142795004137,17.34045770142139,-26.94085289676016,136.45162963867188,34.01091384887695
1456,352.3474538942152,15.43241528231142,-27.76166257057351,135.12814331054688,33.986671447753906
1472,352.09347782335954,12.560137604264199,-28.846858339617114,135.12814331054688,33.986671447753906
1489,351.5207409180285,10.293026718255877,-29.53903017541214,135.12814331054688,33.986671447753906
1506,350.67181165135077,8.00651437431461,-30.09610858400423,135.12814331054688,33.986671447753906
1522,349.33940890251745,4.749792110128957,-30.657625343586957,135.12814331054688,33.986671447753906
1539,348.24641367655084,2.0397016746552104,-31.040672530216817,135.12814331054688,33.986671447753906
1556,347.03324802867337,-0.7980366582383527,-31.576453315815872,135.12814331054688,33.986671447753906
1572,345.3619824467659,-4.691695540205377,-32.4828804781231,136.67869567871094,33.91748809814453
1589,344.1880143928683,-7.584526299537634,-33.16190205628959,136.67869567871094,33.91748809814453
1606,343.08575209473855,-10.307803417408437,-33.82902821757681,136.67869567871094,33.91748809814453
