ts,alpha,beta,gamma
1698672531464.0,185,338,465
1698672531541.0,176,341,466
1698672531624.0,177,340,451
1698672531701.0,158,344,455
1698672531781.0,164,362,455
1698672531861.0,175,357,445
1698672531941.0,177,358,453
1698672532024.0,168,354,452
1698672532101.0,181,355,454
1698672532181.0,179,359,457
1698672532261.0,171,352,454
1698672532341.0,180,360,457
1698672532424.0,166,360,463
1698672532501.0,177,356,463
1698672532581.0,176,364,476
1698672532661.0,172,367,480
1698672532741.0,171,383,479
1698672532821.0,157,370,475
1698672532901.0,139,376,458
1698672532981.0,135,385,458
1698672533061.0,111,397,455
1698672533141.0,102,396,458
1698672533221.0,92,407,448
1698672533301.0,54,401,444
1698672533381.0,31,411,440
1698672533461.0,-4,406,429
1698672533541.0,-29,395,426
1698672533621.0,-65,376,407
1698672533702.0,-78,348,396
1698672533781.0,-71,336,388
1698672533864.0,-99,329,378
1698672533941.0,-93,316,365
1698672534021.0,-102,311,363
1698672534103.0,-116,303,365
1698672534181.0,-127,293,363
1698672534264.0,-138,287,359
1698672534341.0,-157,268,358
1698672534421.0,-172,271,356
1698672534501.0,-172,256,359
1698672534581.0,-192,266,369
1698672534663.0,-207,262,375
1698672534741.0,-218,250,375
1698672534821.0,-219,228,365
1698672534901.0,-241,230,381
1698672534981.0,-254,208,379
1698672535064.0,-256,200,384
1698672535141.0,-264,189,386
1698672535221.0,-255,198,373
1698672535301.0,-266,187,388
1698672535381.0,-253,196,379
1698672535461.0,-254,195,373
1698672535541.0,-256,198,386
1698672535621.0,-258,197,384
1698672535701.0,-260,197,385
1698672535781.0,-248,205,389
1698672535860.0,-248,205,393
1698672535941.0,-245,195,385
1698672536020.0,-251,199,384
1698672536100.0,-244,208,371
1698672536181.0,-242,203,370
1698672536260.0,-244,204,363
1698672536341.0,-228,203,381
1698672536421.0,-234,216,375
1698672536504.0,-232,213,363
1698672536580.0,-209,210,373
1698672536661.0,-216,233,359
1698672536742.0,-206,209,364
1698672536820.0,-197,219,354
1698672536903.0,-213,200,356
1698672536980.0,-212,210,359
