ts(msec),PPG
1698414994768.0696,21777.0
1698414994788.4983,21781.0
1698414994808.9272,21781.0
1698414994829.356,21779.0
1698414994849.785,21779.0
1698414994870.2136,21777.0
1698414994890.6423,21769.0
1698414994911.0713,21763.0
1698414994931.5,21763.0
1698414994951.9287,21757.0
1698414994972.3577,21752.0
1698414994992.7864,21749.0
1698414995013.215,21749.0
1698414995033.644,21741.0
1698414995054.0728,21734.0
1698414995074.5017,21740.0
1698414995094.9304,21734.0
1698414995115.3591,21736.0
1698414995135.7878,21731.0
1698414995156.2166,21733.0
1698414995176.6455,21739.0
1698414995197.0742,21735.0
1698414995217.503,21735.0
1698414995237.932,21736.0
1698414995258.3606,21738.0
1698414995278.7893,21740.0
1698414995299.2185,21739.0
1698414995319.647,21740.0
1698414995340.0757,21742.0
1698414995360.5046,21748.0
1698414995380.933,21744.0
1698414995401.362,21753.0
1698414995421.791,21749.0
1698414995442.2195,21752.0
1698414995462.6484,21765.0
1698414995483.0774,21755.0
1698414995503.506,21765.0
1698414995523.9348,21761.0
1698414995544.3635,21763.0
1698414995564.7925,21764.0
1698414995585.2212,21771.0
1698414995605.65,21772.0
1698414995626.0789,21776.0
1698414995646.5076,21777.0
1698414995666.9363,21777.0
1698414995687.3652,21775.0
1698414995707.794,21770.0
1698414995728.223,21762.0
1698414995748.6516,21757.0
1698414995769.0803,21755.0
1698414995789.509,21752.0
1698414995809.938,21742.0
1698414995830.3667,21742.0
1698414995850.7954,21736.0
1698414995871.224,21731.0
1698414995891.653,21723.0
1698414995912.0818,21717.0
1698414995932.5105,21716.0
1698414995952.9397,21719.0
1698414995973.3682,21711.0
1698414995993.7969,21713.0
1698414996014.2258,21705.0
1698414996034.6543,21710.0
1698414996055.0833,21704.0
1698414996075.5122,21711.0
1698414996095.941,21708.0
1698414996116.3696,21721.0
1698414996136.7986,21713.0
1698414996157.2273,21714.0
1698414996177.656,21712.0
1698414996198.085,21716.0
1698414996218.5137,21723.0
1698414996238.9424,21721.0
1698414996259.371,21717.0
1698414996279.8,21722.0
1698414996300.2288,21730.0
1698414996320.6577,21721.0
1698414996341.0864,21730.0
1698414996361.5151,21726.0
1698414996381.9438,21735.0
1698414996402.3728,21731.0
1698414996422.8015,21738.0
1698414996443.2302,21737.0
1698414996463.6592,21741.0
1698414996484.088,21736.0
1698414996504.5166,21736.0
1698414996524.9456,21740.0
1698414996545.3745,21742.0
1698414996565.803,21734.0
1698414996586.232,21737.0
1698414996606.6606,21729.0
1698414996627.0894,21727.0
1698414996647.518,21721.0
1698414996667.947,21724.0
1698414996688.3755,21719.0
1698414996708.8044,21717.0
1698414996729.2334,21717.0
1698414996749.662,21713.0
1698414996770.0908,21711.0
1698414996790.5198,21714.0
1698414996810.9485,21721.0
1698414996831.3772,21719.0
1698414996851.8062,21719.0
1698414996872.2349,21719.0
1698414996892.6636,21717.0
1698414996913.0923,21724.0
1698414996933.5212,21726.0
1698414996953.95,21720.0
1698414996974.379,21719.0
1698414996994.8076,21726.0
1698414997015.2363,21726.0
1698414997035.665,21726.0
1698414997056.094,21731.0
1698414997076.5227,21732.0
1698414997096.9514,21732.0
1698414997117.3804,21737.0
1698414997137.809,21738.0
