timestamp,accGGx,accGGy,accGGz
1698673095.168,0.592,0.488,0.001
1698673095.248,0.633,0.55,0.089
1698673095.328,0.638,0.66,0.107
1698673095.408,0.657,0.788,0.126
1698673095.488,0.687,0.9,0.252
1698673095.568,0.821,0.976,0.317
1698673095.648,0.862,0.997,0.295
1698673095.728,0.86,0.953,0.16
1698673095.808,0.779,0.878,0.021
1698673095.888,0.654,0.742,-0.087
1698673095.968,0.62,0.679,-0.18
1698673096.047,0.639,0.678,-0.231
1698673096.128,0.658,0.676,-0.242
1698673096.207,0.679,0.729,-0.136
1698673096.287,0.722,0.779,-0.06
1698673096.368,0.801,0.871,-0.012
1698673096.448,0.841,1.02,0.176
1698673096.527,0.849,1.079,0.301
1698673096.608,0.832,1.039,0.295
1698673096.687,0.779,0.981,0.237
1698673096.767,0.729,0.925,0.17
1698673096.85,0.68,0.833,0.114
1698673096.927,0.61,0.707,0.062
1698673097.007,0.538,0.606,0.01
1698673097.088,0.471,0.534,-0.06
1698673097.167,0.478,0.513,-0.154
1698673097.247,0.645,0.545,-0.342
1698673097.328,0.634,0.54,-0.361
1698673097.407,0.609,0.551,-0.325
1698673097.488,0.595,0.57,-0.238
1698673097.568,0.574,0.586,-0.109
1698673097.647,0.576,0.601,-0.009
1698673097.727,0.613,0.685,0.041
1698673097.808,0.639,0.745,0.084
1698673097.887,0.644,0.719,0.132
1698673097.967,0.664,0.769,0.167
1698673098.047,0.709,0.861,0.211
1698673098.127,0.767,0.935,0.263
1698673098.207,0.82,1.016,0.306
1698673098.287,0.847,1.027,0.291
1698673098.367,0.86,0.952,0.158
1698673098.447,0.836,0.83,-0.011
1698673098.527,0.734,0.668,-0.132
1698673098.607,0.668,0.577,-0.243
1698673098.688,0.683,0.557,-0.333
1698673098.767,0.68,0.543,-0.374
1698673098.85,0.675,0.548,-0.391
1698673098.927,0.664,0.546,-0.377
1698673099.007,0.787,0.759,-0.242
1698673099.089,0.888,0.985,-0.007
1698673099.167,0.89,1.042,0.222
1698673099.25,0.877,1.08,0.261
1698673099.327,0.854,1.092,0.217
1698673099.407,0.793,1.016,0.165
1698673099.487,0.711,0.875,0.099
1698673099.567,0.607,0.721,0.034
1698673099.647,0.542,0.582,0.019
1698673099.727,0.476,0.444,-0.018
1698673099.807,0.483,0.421,-0.168
1698673099.887,0.609,0.55,-0.297
1698673099.967,0.642,0.596,-0.308
1698673100.047,0.621,0.566,-0.262
1698673100.127,0.616,0.593,-0.2
1698673100.207,0.596,0.588,-0.131
1698673100.287,0.598,0.616,-0.064
1698673100.367,0.6,0.671,-0.013
1698673100.447,0.594,0.698,0.026
1698673100.527,0.604,0.736,0.068
1698673100.607,0.64,0.792,0.113
1698673100.687,0.702,0.871,0.153
1698673100.767,0.771,0.962,0.197
1698673100.847,0.881,1.074,0.231
1698673100.928,0.892,0.999,0.097
1698673101.007,0.802,0.87,-0.029
1698673101.089,0.663,0.703,-0.125
1698673101.167,0.607,0.579,-0.244
1698673101.248,0.622,0.558,-0.344
1698673101.328,0.646,0.579,-0.404
1698673101.407,0.665,0.579,-0.422
1698673101.487,0.628,0.596,-0.411
1698673101.567,0.643,0.653,-0.383
1698673101.647,0.758,0.778,-0.305
1698673101.727,0.866,0.959,-0.062
1698673101.807,0.88,1.042,0.179
1698673101.887,0.874,1.082,0.222
1698673101.966,0.882,1.092,0.197
1698673102.046,0.828,1.002,0.16
1698673102.127,0.722,0.862,0.097
1698673102.207,0.585,0.721,0.033
1698673102.286,0.494,0.615,-0.012
1698673102.367,0.46,0.515,-0.064
1698673102.446,0.47,0.463,-0.15
1698673102.526,0.559,0.5,-0.261
1698673102.607,0.635,0.509,-0.318
1698673102.686,0.531,0.508,-0.23
1698673102.766,0.366,0.484,-0.261
1698673102.847,0.337,0.504,-0.245
1698673102.926,0.496,0.583,-0.065
1698673103.006,0.608,0.733,0.05
1698673103.087,0.713,0.929,0.126
1698673103.167,0.775,0.973,0.18
1698673103.246,0.796,0.959,0.224
1698673103.329,0.838,1.0,0.226
1698673103.406,0.862,0.994,0.173
1698673103.486,0.842,0.916,0.083
1698673103.569,0.777,0.824,-0.045
1698673103.646,0.654,0.699,-0.161
1698673103.726,0.582,0.59,-0.281
1698673103.806,0.6,0.597,-0.376
1698673103.886,0.608,0.608,-0.412
1698673103.966,0.607,0.597,-0.432
1698673104.047,0.595,0.585,-0.434
1698673104.126,0.607,0.582,-0.399
1698673104.206,0.712,0.692,-0.314
1698673104.287,0.82,0.862,-0.141
1698673104.366,0.873,1.016,0.102
1698673104.446,0.901,1.086,0.233
1698673104.526,0.837,1.018,0.192
1698673104.606,0.731,0.98,0.107
1698673104.686,0.618,0.858,0.024
1698673104.766,0.511,0.641,-0.021
1698673104.846,0.404,0.466,-0.068
1698673104.926,0.381,0.381,-0.145
1698673105.006,0.493,0.43,-0.265
1698673105.086,0.58,0.483,-0.325
1698673105.166,0.538,0.465,-0.291
1698673105.246,0.49,0.465,-0.194
1698673105.327,0.513,0.524,-0.078
1698673105.407,0.567,0.644,-0.04
1698673105.486,0.639,0.784,0.0
1698673105.568,0.694,0.847,0.086
1698673105.646,0.722,0.873,0.144
1698673105.726,0.772,0.966,0.179
1698673105.808,0.807,1.036,0.215
1698673105.886,0.836,1.044,0.21
1698673105.969,0.858,0.977,0.097
1698673106.046,0.801,0.88,-0.021
1698673106.126,0.681,0.754,-0.099
1698673106.207,0.621,0.591,-0.245
1698673106.286,0.624,0.575,-0.285
1698673106.366,0.654,0.626,-0.292
1698673106.446,0.703,0.7,-0.279
1698673106.526,0.778,0.771,-0.241
1698673106.606,0.841,0.892,-0.077
1698673106.686,0.845,1.056,0.159
1698673106.766,0.853,1.145,0.272
1698673106.846,0.867,1.111,0.276
1698673106.926,0.823,1.016,0.231
1698673107.006,0.714,0.915,0.167
1698673107.086,0.598,0.789,0.088
1698673107.166,0.521,0.651,0.01
1698673107.246,0.478,0.522,-0.035
1698673107.326,0.485,0.454,-0.104
1698673107.406,0.52,0.471,-0.208
1698673107.486,0.581,0.525,-0.301
1698673107.566,0.629,0.597,-0.325
1698673107.646,0.594,0.599,-0.269
1698673107.726,0.564,0.557,-0.171
1698673107.808,0.574,0.545,-0.077
1698673107.886,0.582,0.583,-0.021
1698673107.965,0.61,0.645,0.014
1698673108.047,0.682,0.828,0.104
1698673108.126,0.739,0.935,0.155
1698673108.205,0.774,1.024,0.199
1698673108.285,0.832,1.072,0.203
1698673108.366,0.881,1.032,0.138
1698673108.445,0.816,0.894,0.027
1698673108.525,0.669,0.739,-0.102
1698673108.606,0.599,0.651,-0.195
1698673108.685,0.617,0.621,-0.252
1698673108.765,0.657,0.648,-0.274
1698673108.845,0.683,0.696,-0.307
1698673108.925,0.744,0.794,-0.267
1698673109.005,0.824,0.99,-0.017
1698673109.085,0.863,1.084,0.219
1698673109.165,0.89,1.065,0.267
1698673109.245,0.854,1.041,0.233
1698673109.325,0.782,0.967,0.182
1698673109.405,0.696,0.876,0.09
1698673109.485,0.602,0.758,-0.001
1698673109.565,0.536,0.601,-0.048
1698673109.645,0.499,0.499,-0.108
1698673109.725,0.501,0.493,-0.188
1698673109.805,0.525,0.508,-0.372
1698673109.886,0.635,0.544,-0.429
1698673109.965,0.631,0.494,-0.412
1698673110.048,0.595,0.437,-0.354
1698673110.125,0.564,0.462,-0.251
1698673110.206,0.538,0.514,-0.124
1698673110.287,0.538,0.557,-0.039
1698673110.365,0.595,0.639,-0.004
1698673110.445,0.67,0.754,0.031
1698673110.525,0.719,0.832,0.101
1698673110.605,0.763,0.87,0.168
1698673110.685,0.805,0.953,0.217
1698673110.765,0.838,1.028,0.253
1698673110.845,0.871,1.029,0.23
1698673110.925,0.885,0.953,0.105
1698673111.006,0.8,0.803,-0.046
1698673111.085,0.651,0.637,-0.154
1698673111.165,0.607,0.576,-0.249
1698673111.245,0.636,0.592,-0.308
